Title,Platform(s),Genre(s)
SNK 40th Anniversary Collection,NS,Compilation
Spyro Reignited Trilogy,"PS4, XBO",Platform
Fallout 76,"Win, PS4, XBO",Action Role-Playing
Monkey King: Master of the Clouds,PS4,Arcade shooter
Psychedelica of the Black Butterfly,Win,Visual novel
RPG Maker MV Trinity,"NS, PS4",Game creation system
Trailblazers,NS,Role-Playing
Underworld Ascendant,"Win, Mac, Lin",Action Role-Playing
Echo Combat,Oculus Rift,VR First-person Shooter
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",NS,Role-Playing
Battlefield V,"Win, PS4, XBO",First-person shooter
Bendy and the Ink Machine,"NS, PS4, XBO",Survival horror
Farming Simulator 19,"Win, Mac, PS4, XBO",Simulation
Moto Racer 4,NS,Racing
Wreckfest,"PS4, XBO","Vehicular combat, racing"
ATV Drift & Tricks,NS,Racing
Darksiders III,"Win, PS4, XBO"," Hack and Slash, action-adventure"
Spintires: Mudrunner – American Wilds Edition,NS,Racing
Artifact,"Win, Mac, Lin",Digital collectible card game
Ketsui Deathtiny: Kizuna Jigoku Tachi,PS4,Shoot 'em up
Parkitect,"Win, Mac, Lin",Construction and management simulation
Persona Q2: New Cinema Labyrinth,3DS,"Role-Playing, Dungeon Crawl"
Ark: Survival Evolved,NS,"Action-adventure, survival"
Fighting EX Layer,Win,Fighting
Gear.Club Unlimited 2,NS,Racing
Gwent: The Witcher Card Game,"PS4, XBO",Action
Just Cause 4,"Win, PS4, XBO",Action-adventure
Monster Boy and the Cursed Kingdom,"Win, NS, PS4, XBO",Platform
Mutant Year Zero: Road to Eden,"Win, PS4, XBO",Turn-based strategy
Override: Mech City Brawl,"Win, PS4, XBO",Fighting
Persona 3: Dancing in Moonlight,"PS4, PSVita",Rhythm
Persona 4: Dancing All Night,PS4,Rhythm
Persona 5: Dancing in Starlight,"PS4, PSVita",Rhythm
Subnautica,"PS4, XBO","Adventure, survival"
Thronebreaker: The Witcher Tales,"PS4, XBO",Role-Playing
Toki,NS,"Action, Platformer, Arcade"
Ashen,"Win, XBO",Action Role-Playing
The Last Remnant: Remastered,PS4,Role-Playing
Katamari Damacy Reroll,"Win, NS","Puzzle, action"
Path of Exile,PS4,"Action Role-Playing,  Hack and Slash"
PlayerUnknown's Battlegrounds,PS4,Battle royale
Sega Genesis Classics,NS,Platform
Super Smash Bros. Ultimate,NS,Fighting
Earth Defense Force 5,PS4,Action
Insurgency: Sandstorm,Win,First-person shooter
DayZ,Win,"First-person shooter, third-person shooter, survival"
God Eater 3,PS4,Action Role-Playing
GRIS,"Win, Mac, NS","Adventure, platformer"
Judge Eyes,PS4,Action
Omensight: The Definitive Edition,NS,Action Role-Playing
Below,"Win, XBO","Action-adventure, roguelike"
Borderlands 2 VR,PS4,"First-person shooter, Role-Playing"
London Detective Mysteria,PSVita,Visual novel
Warhammer: Vermintide 2,PS4,Action
Asdivine Hearts II,Win,Role-Playing
Dragon Quest Builders 2,"NS, PS4","Sandbox, action Role-Playing"
